Volcano Name,Volcano Code
Korath Range,KOR
Koro,KOO1
Korosi,KOO
Korovin,KON1
Koryaksky,KOY
Kos,KOS
Koshelev,KOH
Kostakan,KOT
"Koussi, Emi",KOE
Kozu-shima,KOZ
Kozyrevsky,KOK
Krafla,KRF
Krainy,KRI
Krakagiger,KRE
Krakatau,KRA
Krasheninnikov,KRS
Kristnitokugigar,KRT
Krisuvik,KRU
Kronotsky,KRO
Ksudach,KSU
Kuchinoerabu-jima,KUH
Kuchino-shima,KUC
Kueishantao,KUE
Kuju,KUJ
Kukak,KUK1
Kula,KUL
Kulkev,KUK
Kunlun Volc Group,KVG
Kunyit,KUN
Kupreanof,KUP
Kurikoma,KUI
Kurile Lake,KRL
Kurose Hole,KRH
Kurub,KUR
Kusatsu-Shirane,KUS
Kutcharo,KUA
Kuttara,KUT
Kutum Volc Field,KVF
Kuwae,KUW
Kverkfjöll,KVE
Kyatwa,KYA
La Palma,LAP
Láscar,LÁS
Labo,LAB
Laguna Caldera,LAC
Laguna Volc Field,LVF
"Lajas, Las",LJL
Lakagiger,LAK
Lambafit,LAF
Lamington,LAM
Lamongan,LAO
Lanín,LAN1
Langila,LAN
Langjökull,LAG
Lanzarote,LAZ
Larderello,LAR
Lassen Volc Center,LVC
Lastarria,LAS
Late,LAT
Latukan,LAU
Lautaro,LAA
Lavic Lake,LAL
Lawu,LAW
Leizhou Bandao,LEB
"Lengai, Ol Doinyo",LOD
Leonard Range,LNR
Leroboleng,LER
Leskov Island,LEI
Leutongey,LEU
Level Mountain,LEM
Lewotobi,LEW
Lewotobi Perempuan,LEP
Lewotolo,LEO
Liado Hayk,LIH
Liamuiga,LIM
Licancabur,LIA
Licto,LIC
Lihir,LII
Lindenberg Island,LNI
Lipari,LIP
Little Sitkin,LIS
Ljósufjöll,LJS
Llaima,LLA
Llullaillaco,LLU
Loihi,LOH
Loki-Fögrufjöll,LOF
Lokon-Empung,LOE
Lolo,LOL
Lolobau,LOO
Loloru,LOR
Lomonosov Group,LOG
Long Island,LOI
Long Valley,LOV
"Longavi, Nevado de",LNN
Longgang Group,LNG
Longonot,LON
Lonquimay,LOQ
Lopevi,LOP
Lower Chindwin,LOC
Lubukraya,LUB
"Lumut Balai, Bukit",LBB
"Lunayyir, Harrat ",LUH
Lurus,LUR
Lvinaya Past,LVP
Lysuhóll,LYS
Ma Alalta,MLA
Maca,MAA3
Macauley Island,MUI
Macdonald,MAC
Machin,MAN5
Macizo de Larancagua,MCL
Macizo de Pacuni,MCP
Madeira,MAA4
Maderas,MAS1
Madilogo,MAD
Mageik,MAK1
Mahagnao,MAO1
Mahawu,MAW
Maipo,MAO3
Makaturing,MAG1
Makian,MAK
Makushin,MAN3
Malabar,MAB
Malang Plain,MLP
Malinao,MAO2
"Malinche, La",MLL
Malindang,MAG2
Malindig,MAG3
Malintang,MAT
Mallahle,MAL
Mílos,MÍL
Maly Payalpan,MYP
Maly Semiachik,MLS
Mammoth Mountain,MMM
Managlase Plateau,MAP
Manam,MAM
Manda Gargori,MAG
Manda Hararo,MAH
Manda-Inakir,MAI
Mandalagan,MAN1
Manengouba,MAN
Manuk,MAU
Manzaz Volc Field,MVF
Marapi,MAI1
Marchena,MAA2
Mare,MAE
"Marha, Jabal el-",MRJ
"Mariñaqui, Laguna",MRL
Marion Island,MRI
Mariveles,MAV
Markagunt Plateau,MRP
Maroa,MAO
"Marra, Jebel",MAJ
Marsabit,MAR
Martin,MAN4
Masaraga,MAS
Masaya,MAA1
Mascota Volc Field,MVA
Mashkovtsev,MAV1
Mashu,MAU1
Mat Ala,MAA
Matthew Island,MTI
Matutum,MAM1
Maug Islands,MGI
"Maule, Laguna del",MGL
Mauna Kea,MUK
Mauna Loa,MUL
Mayon,MAN2
Mayor Island,MYI
May-ya-moto,MAY
McDonald Islands,MCI
Meager,MEE
Medicine Lake,MDL
Medvezhia,MEV
Mega Basalt Field,MBF
Megata,MEG
Mehetia,MEH
Meidob Volc Field,MVE
Melbourne,MEU
Melimoyu,MEI
Mencheca,MEC
Mendeleev,MED
Menengai,MEN
Mentolat,MEO
Merapi,MEA
Merbabu,MEB
Mere Lava,MEL
Meru,MER
Methana,MET
Metis Shoal,MES
Mezhdusopochny,MEZ
Miñiques,MII
Michael,MIA
Michoacán-Guanajuato,MCG
Middle Gobi,MIG
Mikura-jima,MIK
Milbanke Sound Group,MSG
Milne,MIL
Minami Kasuga,MNK
Minami-Hiyoshi,MIH
Minchinmávida,MIN
Miravalles,MIR
"Misti, El",MIE
Miyake-jima,MIY
Mocho-Choshuenco,MCC
Moffett,MOF
"Moiro, Cerro",MIC
Mojanda,MOJ
Mokuyo Seamount,MKS
Mombacho,MOB
Momotombo,MOM
Monaco Bank,MNB
Mono Craters,MOC
Mono Lake Volc Field,MLV
Monowai Seamount,MOS
Montagu Island,MNI
"Morning, Mt.",MRM
Moti,MOI
Motlav,MOT
Moua Pihaa,MOP
Mousa Alli,MOA
Moyuta,MOY
Muhavura,MUH
Mundafell,MUD
Mundua,MUN
Muria,MUA
Musa River,MUR
Musuan,MUS
Mutnovsky,MUT
Mutsu-Hiuchi-dake,MTH
Myojin Knoll,MYK
Myoko,MYO
Nabro,NAB
Nabukelevu,NAU
Nakano-shima,NAK
Namarunu,NAM
Nantai,NAN
Naolinco Volc Field,NVF
Narage,NAR
Narcondum,NAC
Narugo,NAG
Nasu,NAS
Natib,NAT
Nazko,NAZ
Ndete Napu,NDN
NE Udokan Plateau,NUP
"Negra, Sierra",NGS
"Negrillar, El",NEE
"Negrillar, La",NEL
"Negro de Mayasquer, Cerro",NMC
"Negro, Cerro",NEC
Nejapa-Miraflores,NEM
Nemo Peak,NEP
Nemrut Dagi,NED
"Nevada, Sierra",NVS
Nevis Peak,NIP
Newberry,NEW
Newer Volcanics Prov,NVP
Ngaoundere Plateau,NGP
Ngozi,NGO
"Nicholson, Cerro",NIC
Nieuwerkerk,NIE
Nightingale Island,NGI
Nigorigawa,NIG
Niigata-Yake-yama,NIY
Nii-jima,NII
Nikko,NIK
Nikko-Shirane,NKS
Nila,NIL
Nipesotsu-Maruyama,NIM
Niseko,NIO
Nishino-shima,NIH
Nisyros,NIS
Niuafo'ou,NIU
Nonda,NON
Norikura,NOR
North Gorda Ridge,NGR
North Island,NOI
North Sister Field,NSF
North Vate,NOV
Northern EPR-Segment RO2,NES
Northern EPR-Segment RO3,NEO
Nosy-Be,NOB
Novarupta,NOA
Nuevo Mundo,NVM
Numazawa,NUM
Nunivak Island,NUI
NW Eifuku,NWE
NW Rota-1,NRW
Nyambeni Hills,NYH
Nyamuragira,NYA
Nyiragongo,NYI
Nylgimelkin,NYL
O'a Caldera,OAC
Ofu-Olosega,OFO
"Ojos del Salado, Nevados",OSN
Oka Plateau,OKP
Okataina,OKA
Oki-Dogo,OKD
Okmok,OKM
Oku Volc Field,OVK
Ol Kokwe,OLK
Olca-Paruma,OLP
Olkaria,OLA
Olkoviy Volc Group,OVG
Ollagüe,OLL
Olot Volc Field,OVF
Omanago Group,OMG
On-take,ONT
Opala,OPA
"Orizaba, Pico de",ORP
Ormus Island,ORI
Orosí,ORO
Oshima,OSH
Oshima-Oshima,OHO
Osore-yama,OSO
Osorno,OSO1
Ostanets,OST
Ostry,OSR
Otdelniy,OTD
"Overo, Cerro",OVC
Ozernoy,OZE
Pacaya,PAA1
Paco,PAC
Pagan,PAN1
Pago,PAG
Paka,PAK
Palei-Aike Volc Field,PAE
Palena Volc Group,PVG
Palinuro,PAL
Palomo,PAM
Paluweh,PAW
Pampa Luxsar,PML
Panarea,PAN
Pantelleria,PAT
"Pantoja, Cerro",PNC
Papandayan,PAP
Papayo,PAY
Paricutin Volc Field,PVF
Parinacota,PAI
Parker,PAR
Patah,PAA
Patoc,PAO
Patuha,PAU
Paulet,PAT1
Pavlof,PAV
Pavlof Sister,PAS
Payún Matru,PYM
Peinado,PED
Pelée,PEL
Penanggungan,PEA
Pendan,PEN
Pengchiahsu,PEC
Penguin Island,PNI
Perbakti-Gagak,PEG
Petacas,PET
Peter I Island,PIE
Peuet Sague,PES
Pico,PIC
Picos Volc System,PVS
Piip,PII
"Pilas, Las",PIL
Pinacate,PIA
Pinatubo,PIN
Pinta,PIT
Piparo,PIP
Piratkovsky,PIR
Planchón-Peteroa,PLP
"Plat Pays, Morne",PPM
Platanar,PLA
"Pleiades, The",PLT
Ploskaya,PLS
Plosky,PLO
Poás,POS
Pocdol Mountains,POM
Poco Leok,POL
Pogranychny,POG
Popa,POP
Popocatépetl,POO
Porak,POR
"Possession, Ile de la",POI
Potato Butte,POB
Prestahnukur,PRE
Prevo Peak,PRP
"Prieto, Cerro",PRC
Prince Edward Island,PEI
Protector Shoal,PRS
Puchuldiza,PUH
Puesto Cortaderas,PSC
Pular,PUA
Pulau Weh,PUW
Pulosari,PUL
Pululagua,PUU
Puntiagudo-Cordón Cenizos,PCU
Puracé,PUR
Purico Complex,PUC
Putana,PUT
Puyehue-Cordón Caulle,PCC
Puyuhuapi,PUY
Qal'eh Hasan Ali,QHA
Qualibou,QUA
Quetana,QUT
Quetrupillan,QUR
Quezaltepeque,QUE
"Quill, The",QIT
Quilotoa,QUI
Quimsachata,QUM
Rabaul,RAB
Ragang,RAG
"Rahah, Harrat ar ",RAH
"Rahat, Harrat ",RHH
Raikoke,RAK
Rainier,RAE
Rajabasa,RAJ
Ranakah,RAA
Ranau,RAN
Río Murta,RUM
Raoul Island,RAI
Rasshua,RAA1
Raung,RAU
Rausu,RAS
Recheschnoi,REC
Reclus,REL
"Redondo, Cerro",RDC
Redoubt,RED
Reporoa,REP
Resago,RES
Reventador,REV
Reykjanes,REK
Reykjaneshryggur,REY
Rincón de la Vieja,RIV
Rinjani,RIN
Risco Plateado,RIP
Rishiri,RIS
Ritter Island,RII
Robinson Crusoe,RBC
Rocard,ROC
Romanovka,ROM
Romeral,ROE
Rota,ROA
Rotorua,ROT
Roundtop,ROU
